Operation,Param #1,Param #2,Param #3,RequiresRegs,RequiresInReduce,LatencyOf,LatencyInReduce
isAllocation,,,,0,0,0,0,
FieldApply,,,,0,0,0,0,
VectorApply,,,,0,0,0,0,
VectorSlice,,,,0,0,0,0,
VectorConcat,,,,0,0,0,0,
DataAsBits,,,,0,0,0,0,
BitsAsData,,,,0,0,0,0,
VarRegNew,,,,0,0,0,0,
VarRegRead,,,,0,0,0,0,
VarRegWrite,,,,0,0,0,0,
LUTLoad,,,,0,0,0,0,
RegRead,,,,0,0,0,0,
RegWrite,,,,0,0,1,1,
RegReset,,,,0,0,1,1,
RegFileLoad,,,,1,1,1,1,
ParRegFileLoad,,,,1,1,1,1,
RegFileStore,,,,0,0,1,1,
ParRegFileStore,,,,0,0,1,1,
RegFileShiftIn,,,,0,0,1,1,
ParRegFileShiftIn,,,,0,0,1,1,
StreamRead,,,,0,0,0,0,
ParStreamRead,,,,0,0,0,0,
StreamWrite,,,,0,0,0,0,
ParStreamWrite,,,,0,0,0,0,
BufferedOutWrite,,,,0,0,0,0,
FIFOEnq,,,,0,0,1,1,
ParFIFOEnq,,,,0,0,1,1,
FIFODeq,,,,1,1,1,1,
ParFIFODeq,,,,1,1,1,1,
FIFONumel,,,,0,0,0,0,
FIFOAlmostEmpty,,,,0,0,0,0,
FIFOAlmostFull,,,,0,0,0,0,
FIFOEmpty,,,,0,0,0,0,
FIFOFull,,,,0,0,0,0,
SRAMLoadSyncMem,,,,0,0,2,2,
ParSRAMLoadSyncMem,,,,0,0,2,2,
SRAMLoad,,,,0,0,2,2,
ParSRAMLoad,,,,0,0,2,2,
SRAMStore,,,,0,0,1,1,
ParSRAMStore,,,,0,0,1,1,
LineBufferEnq,,,,0,0,1,1,
ParLineBufferEnq,,,,0,0,1,1,
LineBufferLoad,,,,1,1,1,1,
ParLineBufferLoad,,,,1,1,1,1,
DelayLine,,,,0,0,0,0,
GetDRAMAddress,,,,0,0,0,0,
Not,,,,1,1,1,1,
And,,,,1,1,1,1,
Or,,,,1,1,1,1,
XOr,,,,1,1,1,1,
XNor,,,,1,1,1,1,
FixNeg,,,,1,1,1,1,
FixInv,,,,1,1,1,1,
FixAdd,,,,1,1,1,0,
FixSub,,,,1,1,1,1,
FixMul,,,,0,0,6,6,
FixDiv,,,,0,0,20,20,
FixMod,,,,0,0,16,16,
FixLt,,,,1,1,1,1,
FixLeq,,,,1,1,1,1,
FixNeq,,,,1,1,1,1,
FixEql,,,,1,1,1,1,
FixAnd,,,,1,1,1,1,
FixOr,,,,1,1,1,1,
FixXor,,,,1,1,1,1,
FixLsh,,,,1,1,1,1,
FixRsh,,,,1,1,1,1,
FixURsh,,,,1,1,1,1,
FixAbs,,,,1,1,1,1,
SatAdd,,,,1,1,1,1,
SatSub,,,,1,1,1,1,
SatMul,,,,1,1,1,1,
SatDiv,,,,1,1,1,1,
UnbMul,,,,1,1,1,1,
UnbDiv,,,,1,1,1,1,
UnbSatMul,,,,1,1,1,1,
UnbSatDiv,,,,1,1,1,1,
FltAbs,,,,0,0,1,1,
FltNeg,,,,0,0,1,1,
FltAddFloat,,,,0,0,12,0,
FltSubFloat,,,,0,0,12,12,
FltMulFloat,,,,0,0,8,8,
FltDivFloat,,,,0,0,28,28,
FltLtFloat,,,,0,0,2,2,
FltLeqFloat,,,,0,0,2,2,
FltNeqFloat,,,,0,0,2,2,
FltEqlFloat,,,,0,0,2,2,
FltLogFloat,,,,0,0,35,35,
FltExpFloat,,,,0,0,27,27,
FltSqrtFloat,,,,0,0,28,28,
Mux,,,,1,1,1,0,
Min,,,,1,1,1,1,
Max,,,,1,1,1,1,
FixConvert,,,,1,0,1,1,
FltConvert,,,,0,0,6,6,
FltPtToFixPtFloat,,,,0,0,6,6,
FixPtToFltPtFloat,,,,0,0,6,6,
Hwblock,,,,0,0,1,1,
ParallelPipe,,,,0,0,10,1,
UnitPipe,,,,0,0,2,0,
OpForeach,,,,0,0,2,1,
OpReduce,,,,0,0,2,1,
OpMemReduce,,,,0,0,1,1,
UnrolledForeach,,,,0,0,2,1,
UnrolledReduce,,,,0,0,10,1,
Switch,,,,0,0,0,0,
SwitchCase,,,,0,0,0,0,
ExitIf,,,,0,0,0,0,
BreakpointIf,,,,0,0,0,0,
PrintIf,,,,0,0,0,0,
PrintlnIf,,,,0,0,0,0,
AssertIf,,,,0,0,0,0,
ToString,,,,0,0,0,0,
StringConcat,,,,0,0,0,0,
FixRandom,,,,0,0,0,0,
FltRandom,,,,0,0,0,0,
